fileId,Lang
001bee54,2
00293990,4
00a2049b,1
00b1dc48,4
00c05eaa,5
0138c7b0,3
013d7a40,5
016996d7,6
019986a7,6
01a8c84f,3
01ddceb9,2
020325e6,1
021e4931,6
029948d1,1
02ee7959,1
03299482,3
032addf5,2
03a30a00,6
03e4f0db,5
042b9211,6
04a99990,4
05e62de5,5
06501b4d,6
0663a3c5,6
06a2f82f,2
06aa0f5f,5
06f649ad,2
073304e0,3
0763c27f,4
0767402b,5
07ca9251,2
081b9a69,6
0828c40c,6
082dd676,3
08389095,5
08cfd54f,6
08fcc2bb,3
090cd776,6
097ab561,6
09988c03,1
0a30e15a,2
0a7e2e0f,1
0a8af35f,2
0b49af9a,5
0b56f57c,4
0b941206,6
0bda545d,1
0bdab8a4,4
0c53b9ea,1
0c68b839,3
0c96a067,3
0cc24336,6
0cebf23c,1
0d4d2465,4
0d985f30,3
0dda934e,1
0e4d1519,1
0f0a3978,3
0f41f15a,1
0f48e218,5
0fea02ab,1
0ff875ae,3
0ff95c4f,2
1101666f,4
1188a9f9,3
11c2de12,6
121bc1a6,3
124ffb14,4
12795c15,2
127b1a1e,1
129c50be,4
12bad897,4
12d87060,6
12e1b4e1,1
13067c5f,3
1314cafa,4
131f0636,1
13f9b9c1,3
13fc2362,5
140119e9,2
144fe3c7,2
1465b88e,3
14ab2440,2
14c260c5,6
1566f562,2
156b8fa5,2
15f4322b,5
16523e4e,2
165e929f,1
1676311e,5
16d93a50,1
17113a64,3
17510cbe,6
17db5cf2,1
17dec9f5,2
1818982a,4
18eacac2,1
1977b986,5
19f26575,5
19fae2e9,1
1a59573e,5
1ab2eafd,6
1ad237e1,5
1af05453,6
1b20b603,1
1be99a4b,5
1c10ac1c,6
1c29e4e6,4
1c457ddd,1
1ca41e91,5
1d1b78e0,1
1e46fd5b,6
1f01e0a5,5
1f8f039e,3
2046c827,3
2114c427,3
2116e011,2
2178d860,6
2198b60f,1
21b478dd,1
21e013e7,6
22126ac5,1
224c9fb5,3
22529509,6
225ca7bb,4
22f72cda,2
2361e20b,3
23baa93c,1
23f6fc8f,5
2416c1b8,2
24802796,1
24b942cb,6
250caf50,2
2560a058,6
256ff30d,4
26134a86,6
266668c8,3
26ef85d2,2
26f8eb5f,3
271d31fb,1
2743643a,5
2751a7eb,1
27908ff5,1
27ebd1ab,2
